id,created_datetime,index,document_type,year,full_name,office,position,position_type,position_category,corruptionAffected,relation_type,org_name,org_type,org_id,org_unit_name,org_unit_type,full_name_office_position,unique_guids
nacp_18cf1b5c-3d52-4cb0-b8e1-67b201908597,2020-05-27 12:06:12,338.0,Щорічна,2019,Німченко Василь Іванович,Верховна Рада України,народний депутат України,,,Ні,16.0,"Недержавна некомерційна професійна організація ""Національна асоціація адвокатів України""",Саморегулівне чи самоврядне професійне об’єднання,38488439,org,org,німченко василь іванович верховна рада україни народний депутат україни,1
nacp_18cf1b5c-3d52-4cb0-b8e1-67b201908597,2020-05-27 12:06:12,338.0,Щорічна,2019,Німченко Василь Іванович,Верховна Рада України,народний депутат України,,,Ні,16.0,"Громадська організація ""Незалежний український центр правових ініціатив і експертиз ""Правова держава""",Громадське об’єднання,34807710,Керівник,Керівні органи,німченко василь іванович верховна рада україни народний депутат україни,1
nacp_18cf1b5c-3d52-4cb0-b8e1-67b201908597,2020-05-27 12:06:12,338.0,Щорічна,2019,Німченко Василь Іванович,Верховна Рада України,народний депутат України,,,Ні,16.0,"Громадська організація ""Всеукраїнський громадський рух ""Український вибір - право народу""",Громадське об’єднання,35919975,org,org,німченко василь іванович верховна рада україни народний депутат україни,1
nacp_18cf1b5c-3d52-4cb0-b8e1-67b201908597,2020-05-27 12:06:12,338.0,Щорічна,2019,Німченко Василь Іванович,Верховна Рада України,народний депутат України,,,Ні,16.0,"Громадська організація ""Інститут розробки інноваційних технологій""",Громадське об’єднання,39480012,Керівник,Керівні органи,німченко василь іванович верховна рада україни народний депутат україни,1
nacp_5f4842c8-a425-4444-9042-40fce511a863,2020-05-27 14:12:35,381.0,Щорічна,2019,Королевська Наталія Юріївна,Верховна Рада України,Народний депутат України,,,Ні,16.0,ІНСТИТУТ СОЦІАЛЬНОГО ЗАХИСТУ ГРОМАДЯН,Громадське об’єднання,39225272,org,org,королевська наталія юріївна верховна рада україни народний депутат україни,1
nacp_5f4842c8-a425-4444-9042-40fce511a863,2020-05-27 14:12:35,381.0,Щорічна,2019,Королевська Наталія Юріївна,Верховна Рада України,Народний депутат України,,,Ні,16.0,НАЦІОНАЛЬНА ПЛАТФОРМА ЖІНКИ ЗА МИР,Громадське об’єднання,41082273,org,org,королевська наталія юріївна верховна рада україни народний депутат україни,1
nacp_3f8b2ff1-f077-4804-a13e-1893fa116cd8,2020-05-27 14:14:36,580.0,Щорічна,2019,Немировський Андрій Валентинович,Управління справами Верховної Ради України,Народний депутат України,,,Так,16.0,УКРАЇНА - ВЕЛИКА НАЦІЯ,Громадське об’єднання,40533659,org,org,немировський андрій валентинович управління справами верховної ради україни народний депутат україни,1
nacp_3f8b2ff1-f077-4804-a13e-1893fa116cd8,2020-05-27 14:14:36,580.0,Щорічна,2019,Немировський Андрій Валентинович,Управління справами Верховної Ради України,Народний депутат України,,,Так,16.0,"""Національна асоціація захисників тварин та навколишнього природного середовища""",Громадське об’єднання,41369881,org,org,немировський андрій валентинович управління справами верховної ради україни народний депутат україни,1
nacp_3f8b2ff1-f077-4804-a13e-1893fa116cd8,2020-05-27 14:14:36,580.0,Щорічна,2019,Немировський Андрій Валентинович,Управління справами Верховної Ради України,Народний депутат України,,,Так,16.0,Міжнародне співтовариство з прав людини,Громадське об’єднання,40554438,org,org,немировський андрій валентинович управління справами верховної ради україни народний депутат україни,1
nacp_f041a3d4-0702-41cf-97c4-0b7ebbc8bc0a,2020-05-27 14:22:26,32.0,Щорічна,2019,Третьякова Галина Миколаївна,Верховна Рада України,Народний депутат України,,,Ні,16.0,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ІНСТИТУТ ГРОМАДЯНСЬКИХ СВОБОД,Громадське об’єднання,41615695,Правління,Наглядові органи,третьякова галина миколаївна верховна рада україни народний депутат україни,1
nacp_4627007d-42da-41bb-bc36-c17f834cc13b,2020-05-27 14:23:51,313.0,Щорічна,2019,Шенцев Дмитро Олексійович,Верховна Рада України,народний депутат України,,,Ні,16.0,Борівське мисливсько-рибальське товариство Хантер,Громадське об’єднання,32468863,org,org,шенцев дмитро олексійович верховна рада україни народний депутат україни,1
nacp_4627007d-42da-41bb-bc36-c17f834cc13b,2020-05-27 14:23:51,313.0,Щорічна,2019,Шенцев Дмитро Олексійович,Верховна Рада України,народний депутат України,,,Ні,16.0,ГО Харківський фонд диких тварин,Громадське об’єднання,33122819,org,org,шенцев дмитро олексійович верховна рада україни народний депутат україни,1
nacp_4627007d-42da-41bb-bc36-c17f834cc13b,2020-05-27 14:23:51,313.0,Щорічна,2019,Шенцев Дмитро Олексійович,Верховна Рада України,народний депутат України,,,Ні,16.0,Харківське обласне мисливське товариство Лісомір,Громадське об’єднання,26202534,org,org,шенцев дмитро олексійович верховна рада україни народний депутат україни,1
nacp_4627007d-42da-41bb-bc36-c17f834cc13b,2020-05-27 14:23:51,313.0,Щорічна,2019,Шенцев Дмитро Олексійович,Верховна Рада України,народний депутат України,,,Ні,16.0,Обласний благодійний фонд Дмитра Шенцева ,Благодійна організація,38159157,Наглядова рада,Наглядові органи,шенцев дмитро олексійович верховна рада україни народний депутат україни,1
nacp_b2f77220-6320-4bef-949c-c9e4df5dd586,2020-05-27 14:45:27,277.0,Щорічна,2019,Солод Юрій Васильович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Всеукраїнське об'єднання ДОРОГА ЖИТТЯ!,Громадське об’єднання,39402924,org,org,солод юрій васильович верховна рада україни народний депутат україни,1
