company_id,company_name,company_ua,counts
40325136,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ АГРО СВІТ ПОДІЛЛЯ,1.0,1
40309821,Громадьський рух Киви-стоп наркотик,1.0,1
40306789,ТОВ Діа-Лаб,1.0,1
40289638,ТОВ Безмятежне-АПК,1.0,1
40289308,"ФГ ""ЄВА-ПЛЮС""",1.0,1
40274726,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «Тернопільський м’ясокомбінат» ,1.0,1
40223912,ТОВ АКТИВ ГАЗ РЕСУРС,1.0,1
40219623,РЕЗАЛТ УКРАЇНА,1.0,1
402113921,LTD Aktivity,0.0,1
40205469,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ 'ТРЕЙД ЕНД ТЕХНОЛОДЖІ ПАРК',1.0,1
40199340,ТОВ ГАЗОЛІНУМ,1.0,1
40192518,Єврогаз 2020,1.0,1
40187838,ТОВ Правова група Новіков і партнери,1.0,1
40180256,КВ МЕНЕДЖМЕНТ,1.0,1
40150368,ТОВ «Аграрна Інвестиційна компанія Чемерівці»,1.0,1
40124170,"Громадська організація ""Всеукраїнське об'єднання ""Весна""",1.0,1
40114225,"АТ ЗАКРИТИЙ НЕДИВЕРСИФІКОВАНИЙ ВЕНЧУРНИЙ КОРПОРАТИВНИЙ ІНВЕСТИЦІЙНИЙ ФОНД Ю.ДІ,ДЖИ.",1.0,1
40087050,ТОВ БК Прогрес,1.0,1
40053319,ТРЕСТ КМБ-3,1.0,1
40043150,ЖИТЛОВО-БУДІВЕЛЬНИЙ КООПЕРАТИВ СПІЛКА ІНВЕСТОРІВ ТОВ ПРАВИЛЬНА КОМПАНІЯ,1.0,1
40371622,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ НАВАЛЬ ЛОГІСТІК,1.0,1
40372804,ТОВ Семенівське колосся,1.0,1
40378413,ТОВ АБ РІТЕЙЛ,1.0,1
40514882,Консалтингова компанія Новіков та партнери,1.0,1
40644594,ГУТОВСЬКА ОСУХОВСЬКИЙ,1.0,1
40619945,ЗЕРНОВА КОМПАНІЯ УКРАЇНИ,1.0,1
40611438,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ПРОМИСЛОВА КОМПАНІЯ ВІТАГРО,1.0,1
40579583,ЮФЕСТ ГРУП,1.0,1
40554438,Міжнародне співтовариство з прав людини,1.0,1
40533659,Україна - велика нація,1.0,1
40528675,"громадська організація ""Національна антикорупційна платформа""",1.0,1
40527742,ТОВ БК Прогрес БУД,1.0,1
40525171,БЛЕКОІЛТЕРМІНАЛ,1.0,1
40519110,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ КОМПАНІЯ З УПРАВЛІННЯ АКТИВАМИ ГАРАНТІЯ,1.0,1
40512094,Товариство з обмеженою відповідальністю СТАТУС БУД-ПРАЙМ,1.0,1
40385745,СХІД КАРБОН ЛТД,1.0,1
40511703,КОЛОКОЛ МЕДІА,1.0,1
40496172,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ НАВАЛЬ ПАРК,1.0,1
40487849,Громадська організація АГЕНЦІЯ ІННОВАЦІЙНОЇ ДЕМОКРАТІЇ,1.0,1
40468695,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ЗАКРИТИЙ НЕДИВЕРСИФІКОВАНИЙ ВЕНЧУРНИЙ КОРПОРАТИВНИЙ ІНВЕСТИЦІЙНИЙ ФОНД ""КНЯГИНЯ ЯРОСЛАВНА""",1.0,1
40465647,Товариство з обмеженою відповідальністю БАЛТХІМТРЕЙД,1.0,1
40447298,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ БС ПРОПЕРТІ,1.0,1
40423502,ГРОМАДСЬКА ОРГАНІЗАЦІЯ «АГЕНЦІЯ ЄВРОПЕЙСЬКОГО СПІВРОБІТНИЦТВА»,1.0,1
40412930,ТОВ СОВА КОНСАЛТИНГ,1.0,1
40412899,ТОВ СОВА РИТЕЙЛ,1.0,1
40402985,Громадська організація Міжнародний центр балтійсько-чорноморських досліджень та консенсусних практик. Центр політичного діалогу,1.0,1
40028765,ТОВ «Агрохолдинг 2012»,1.0,1
400209,VERES IP LIMITED,0.0,1
400202419,LTD RopePark,0.0,1
39577834,М ЕНД С-ЗАХІД,1.0,1
39687561,АДВОКАТСЬКЕ БЮРО ХОМ’ЯК ТА ПАРТНЕРИ,1.0,1
39651598,"Політична партія ""Голос""",1.0,1
39650290,Ай Бі Кепітал,1.0,1
39649091,ТОВ «ІНТЕЛЕКТУАЛЬНІ МЕДІЙНІ СИСТЕМИ»,1.0,1
39644821,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ПОДІЛЬСЬКИЙ ЦЕГЕЛЬНИК,1.0,1
39638320,Інвест Консалт,1.0,1
39616731,ЮРІМЕКС ОНЛАЙН,1.0,1
39608851,ІМПОРТ ТРАНС СЕРВІС,1.0,1
39603853,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «Агроіндустрія 11»,1.0,1
39589064,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ТОРГОВА КОМПАНІЯ ВІТАГРО,1.0,1
39573688,ГРОМАДСЬКА ОРГАНІЗАЦІЯ 'ЄВРОПЕЙСЬКА АСОЦІАЦІЯ ЗООЛОГІЧНИХ ТА ЕКОЛОГІЧНИХ ОРГАНІЗАЦІЙ',1.0,1
39704780,Громадська організація Біржа Молодіжних Проектів,1.0,1
39565876,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «Агропродсервіс Південь»,1.0,1
39549278,"ТОВ ""РОЯЛ ХАУЗ ГРУП""",1.0,1
39535883,ТОВ «ВІТРЯНИЙ ПАРК ПРИЧОРНОМОРСЬКИЙ»,1.0,1
39527055,КОРН ФУДЗ ІНТЕРНЕШНЛ,1.0,1
39507437,КОМО УКРАЇНА,1.0,1
39497047,ФОНД ПОЗИВНИЙ ГОРИНИЧ,1.0,1
39455723,НІДУС ІНВЕСТМЕНТС,1.0,1
39435876,ТОВ ІМІДЖ-2014,1.0,1
39435180,"ТОВ ""МАП Комюнікейшн Груп""",1.0,1
38128375,Товариство з обмеженою відповідальністю Капсулар,1.0,1
39688633,ОВІДІОПОЛЬ-АГРО,1.0,1
39713931,САЙБОР,1.0,1
40012708,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ КЕПЛЕР452,1.0,1
39863664,Штаб Національного Захисту Херсонської області,1.0,1
40003850,Краснотрейд,1.0,1
40001476,Товариство з обмеженою відповідальністю УКРГАЗ ІНВЕСТ,1.0,1
39997067,ДЖОББІ,1.0,1
39995321,МУРАВЕЙ-КИЇВ,1.0,1
39982684,ГО ФК Продексім,1.0,1
39952398,Веллфін,1.0,1
39941465,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СЕДВЕРС,1.0,1
39908003,ТОВ АТЛАНТІК-ЮММА,1.0,1
39878641,"ТОВ ""ІНВЕСТ-БУДСИСТЕМ""",1.0,1
39868055,МУРАХА-ЗАХІД,1.0,1
39856411,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ФУТБОЛЬНИЙ КЛУБ СТАЛЬ,1.0,1
39714982,ДЕТЕКТИВНА ОХОРОННА КОМПАНІЯ ШТОРМ,1.0,1
39851827,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «Агропродсервіс Борщів» ,1.0,1
39849582,ТЕКСЛІНК,1.0,1
39836636,Біопроменерго,1.0,1
39833918,"ФГ ""Орігон""",1.0,1
39829644,РІДНИЙ СВІТ,1.0,1
39798444,К.І.ХОЛДИНГ,1.0,1
39779463,ЄВРОДІН УКРАЇНА,1.0,1
39774774,Медичний центр Діамед,1.0,1
39770958,СІГМА-СЕРВІС СУППОРТ,1.0,1
39741576,Всеукраїнський Союз Ветеранів АТО,1.0,1
38132465,ТОВ Кіноплекс,1.0,1
38123644,"ТОВ ""Консалтингова компанія ""Бізнес Лекс Груп""",1.0,2
38123995,МЕДІАТЕКА,1.0,1
36757206,ПЛАНЕТА КІНО,1.0,1
36755544,НЬЮ ПРОПЕРТІ,1.0,1
36744443,ТОРГОВО ПРОМИСЛОВА КОМПАНІЯ АГРОІНВЕСТ ,1.0,1
36742980,ТОВ «ВІТРЯНИЙ ПАРК БЕРЕЗАНСЬКИЙ»,1.0,1
36732176,МІЛКОР,1.0,1
36726932,ТОВ Герман Консалтинг,1.0,1
36717412,ТОВ «ВІТРЯНИЙ ПАРК НОВОАЗОВСЬКИЙ»,1.0,1
36692081,Товариство з обмеженою відповідальністю ЕТЕР,1.0,1
36679579,АГРОДНІПРОЦЕНТР,1.0,1
36679406,Профіль-Н,1.0,1
36677063,товариство з обмеженою відповідальністю ІНТЕРПРОФІТ,1.0,1
36650963,ПРИВАТНО ПІДПРИЄМСТВО «Агропродсервіс Ярчівці»,1.0,1
36649303,ПРИВАТНЕ ПІДПРИЄМСТВО «ГАЛИЧИНА-ОРГАНІК»,1.0,1
36637303,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ МІЖНАРОДНА ТРАНСПОРТНА ГРУПА ТРАНСПРОМ,1.0,1
36632368,Всеукраїнська громадська організація РУХ ГРОМАДЯНСЬКОЇ ДІЇ ,1.0,1
36632038,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ВІН-ПЕЛЕТА,1.0,1
36604325,ТОВ «Вінницька аграрно-промислова група»,1.0,1
36597120,Добриня-хліб,1.0,1
36596723,РІВ ГРУП,1.0,1
36593387,ПРОВІТА МЕНЕДЖМЕНТ,1.0,1
36592446,МОЛОДІЖНА ГРОМАДСЬКА ОРГАНІЗАЦІЯ ФОНД СПРИЯННЯ СТУДЕНТСЬКІЙ РАДІ МІСТА КИЄВА (ФОНД СРК),1.0,1
36554311,ТОВ БУЛГАР-ТРАВЕЛ-ТУР,1.0,1
36520188,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ІНВЕСТИЦІЙНА КОМПАНІЯ «ГАРМОНІЯ»,1.0,1
36765683,ПРИКАРПАТТЯ ІНВЕСТ,1.0,1
36858128,УНІБУДІНВЕСТ МЕНЕДЖМЕНТ,1.0,1
36861429,ЄВРОДІН ІНТЕРНЕШНЛ МУВЕРС,1.0,1
37011495,ТОВ «ФУРЛЕНДЕР ВІНДТЕХНОЛОДЖІ»,1.0,1
37180518,БФ КАМ'ЯНЕЦЬКИЙ МОТОБОЛ,1.0,1
37112977,ПСК РИНОК СНЯТИНСЬКОГО СТ,1.0,1
37100610,М Т В,1.0,1
37097399,ПРАТ «ВІТРЯНИЙ ПАРК ОЧАКІВСЬКИЙ»,1.0,1
37078732,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ 'БУДІНВЕСТ-2',1.0,1
37070026,ІРВІС - КАПІТАЛ,1.0,1
37043830,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «Корпорація Агропродсервіс»,1.0,1
37042341,ТОВ «П’ятирічанка»,1.0,1
37023238,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ 'МІРАНДА ПЛЮС',1.0,1
37016681,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ САМАН-ГЛЕЙ,1.0,1
36984432,ТОВ Приключение,1.0,1
36866720,ІНВЕСТИЦІЙНА КОМПАНІЯ АВТОЦЕНТР-СЕРВІС,1.0,1
36967464,ПП АГЕНТСТВО ШЕРИФ,1.0,1
36965142,МИСЛИВСЬКО-СПОРТИВНИЙ КЛУБ КАМПА,1.0,1
