org_id,org_name,counts
39920738,БЛАГОДІЙНА ОРГАНІЗАЦІЯ БЛАГОДІЙНИЙ ФОНД ПІДТРИМКИ СТРАТЕГІЙ ТА ІННОВАЦІЙ,1
39913783,ГО БІГОВА УКРАЇНА,1
39902661,"""ГРОМАДЯНСЬКА ІНІЦІАТИВА РОМАНА МАЦОЛИ ""ІНСТИТУТ СОЛІДАРНОСТІ ГРОМАД""",1
39878456,Політична партія Наш Край,2
39863664,Штаб національного захисту Херсонської області,1
39853756,21 ЛИСТОПАДА,1
39843355,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""В/Ч 0624 АЙДАР""",1
39839417,Сильне місто,1
39833183,"Благодійний фонд ""Ігоря Палиці ""Тільки разом""""",1
39819170,Благодійний фонд Волонтери Городоччини,1
39795066,ЦЕНТР ПІДТРИМКИ АЕРОРОЗВІДКИ,1
39788991,ГО Інститут інформаційної безпеки,1
39787818,Громадська спілка Харківська громадська люстраційна палата,1
39786643,СВІДОМА ГРОМАДСЬКІСТЬ,1
39466134,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ДОКУМЕНТАЛЬНА РЕКОНСТРУКЦІЯ""",1
39777995,"БЛАГОДІЙНИЙ ФОНД ""ПРИБУЖЖЯ""",1
39741576,Всеукраїнський союз ветеранів АТО,1
39739462,ВСЕУКРАЇНСЬКИЙ БЛАГОДІЙНИЙ ФОНД СПРАВЖНЬОЇ БОРОТЬБИ З РАКОМ,1
39733696,БФРР Єдина Країна,1
39480012,"Громадська організація ""Інститут розробки інноваційних технологій""",1
39364051,Штаб національного захисту Полтавської області,1
39455824,Автомайдан,1
38737223,Громадська організація Агенція економічного розвитку міста Першотравенськ,1
39088449,Міжнародний інститут Афонської спадщини в Україні,1
39084952,Майдан закордонних справ,1
39029210,Національна асоціація адвокатів України - призупинено право на зайняття адвокатською діяльністю,1
38969442,"Благодійна організація ""Всеукраїнський благодійний фонд ""Народна довіра""",1
38937080,"ГО""СК Едванс""",1
38892474,"ГС Світова Федерація Українських Лемківських Об""єднань",1
38838035,"Громадська організація ""Лебедівна""",1
38813665,"Благодійний фонд ""Агенція місцевого економічного розвитку м. Зеленодольська""",1
38798223,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""СХІДНОЄВРОПЕЙСЬКИЙ КОЛЕГІУМ ТЕРИТОРІАЛЬНОГО ТА МІСЦЕВОГО УПРАВЛІННЯ""",1
38791448,ГРОМАДСЬКА СПІЛКА ВСЕУКРАЇНСЬКА АСОЦІАЦІЯ ДИСТРИБ'ЮТОРІВ НАСІННЯ ТА ЗАСОБІВ ЗАХИСТУ РОСЛИН,1
38749693,ГРОМАДСЬКА СПІЛКА ВСЕУКРАЇНСЬКА ДИТЯЧО-ЮНАЦЬКА ФУТБОЛЬНА ЛІГА УКРАЇНИ,1
38746023,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ВСЕУКРАЇНСЬКА ЛЮСТРАЦІЯ,2
38726735,"Громадська організація ""Всеукраїнське об'єднання ""Народна довіра""",1
39122180,ГФ Народна самооборона,1
38726363,Київська обласна партійна організація Політичної Партії Республіканців,1
38714688,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ''ВСЕУКРАЇНСЬКЕ ОБ'ЄДНАННЯ ''ЦЕНТР РОЗВИТКУ ЛЮДИНИ'',1
38706132,ГО Янг презідентс оргенізейшн Київ чаптер,1
38692895,АСОЦІАЦІЯ 'НАЦІОНАЛЬНА АСОЦІАЦІЯ ПРОМИСЛОВОГО ХЛІБОПЕКАРСТВА',1
38654747,Донецьк 365,1
